mac,endpoint_identity_group,oui,organization,description,desk,switch,port,site
9C:E3:30:38:0B:A6,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:90:F0:D9,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:55:E2:30,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:98:18:51,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:16:1F:0F,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:9D:A1:89,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:7B:EF:73:CC:44,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:48:24:E3,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:82:96:9A,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:AC:68:1B,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:FF:CE:D8,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:BC:F1:AE,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:D5:F2:F7,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:CA:A5:62,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:0F:7B:5B,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
9C:7B:EF:B4:98:8B,Printers,9C:7B:EF,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:7B:EF (Hewlett Packard).,,,,
64:1B:2F:71:3E:E7,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:36:9E:DE,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:32:B5:07,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:BC:17:8C,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:4C:36:78,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:3A:69:22,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:43:8B:F2,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:91:C0:78,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:2A:0D:45,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
64:1B:2F:20:85:CD,TVs,64:1B:2F,"Samsung Electronics Co.,Ltd","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 64:1B:2F (Samsung Electronics Co.,Ltd).",,,,
00:30:8E:D8:2A:FA,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:93:94:E3,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:2C:DB:33,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:98:16:0D,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:37:FC:9B,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:17:75:71,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:02:EF:64,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:B7:C8:33,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:8D:D0:F5,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:30:8E:5D:7D:66,Badge_Readers,00:30:8E,Crossmatch Technologies/HID Global,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:30:8E (Crossmatch Technologies/HID Global).,,,,
00:40:8C:44:EB:37,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:D2:C4:46,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:5A:D7:12,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:13:37:20,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:B3:F2:14,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:C9:B5:81,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:57:75:27,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:1F:F6:7E,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:39:09:86,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:40:8C:E3:FC:EB,Cameras,00:40:8C,Axis Communications AB,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:40:8C (Axis Communications AB).,,,,
00:C0:B7:F7:56:78,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:2D:A4:AF,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:8B:0F:C5,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:5C:95:C5,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:57:B3:D7,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:03:20:EA,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:D8:6E:F9,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:4C:93:67,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:8D:F3:B9,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:C0:B7:76:16:77,UPS,00:C0:B7,AMERICAN POWER CONVERSION CORP,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:B7 (AMERICAN POWER CONVERSION CORP).,,,,
00:0D:5D:72:34:BC,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:81:AD:23,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:86:5E:64,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:54:49:C1,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:9B:08:B5,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:FA:36:BD,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:93:A7:84,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:4D:B6:AA,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:3B:E2:F6,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:0D:5D:CB:B4:25,Powerstrips,00:0D:5D,"Raritan Computer, Inc","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:0D:5D (Raritan Computer, Inc).",,,,
00:C0:4F:5C:81:6F,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:BC:55:E5,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:8B:AC:EF,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:9D:61:E8,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:61:BE:27,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:5A:EA:10,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:E5:D3:05,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:EC:6C:AB,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:07:3E:9D,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
00:C0:4F:0E:79:45,Linux,00:C0:4F,Dell Inc.,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:C0:4F (Dell Inc.).,,,,
10:E7:C6:77:24:DA,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:6F:D4:8D,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:86:7D:E8,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:16:F9:FC,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:99:BC:C8,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:8B:EC:47,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:B5:6E:E5,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:E3:A8:2D,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:FB:2D:19,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
10:E7:C6:8E:F9:0E,Windows,10:E7:C6,Hewlett Packard,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 10:E7:C6 (Hewlett Packard).,,,,
00:16:25:A6:0C:9C,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:96:AF:12,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:CD:14:20,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:A4:62:CF,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:07:F3:1F,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:51:17:0E,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:A5:F2:2E,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:A2:AC:F9,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:7A:62:D4,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
00:16:25:B5:16:D2,RFID_Readers,00:16:25,"Impinj, Inc.","Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:16:25 (Impinj, Inc.).",,,,
