mac,endpoint_identity_group,oui,organization,description,desk,switch,port,site
10:E7:C6:D3:94:BB,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000025,ushun-sw-05,Gi1/0/5,us-huntsville
00:04:F2:E8:7E:4D,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000026,ushun-sw-06,Gi1/0/1,us-huntsville
10:E7:C6:95:00:4F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000026,ushun-sw-06,Gi1/0/1,us-huntsville
00:04:F2:1A:4A:9B,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000027,ushun-sw-06,Gi1/0/2,us-huntsville
10:E7:C6:B8:1A:01,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000027,ushun-sw-06,Gi1/0/2,us-huntsville
00:04:F2:5B:3B:4C,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000028,ushun-sw-06,Gi1/0/3,us-huntsville
10:E7:C6:FA:8F:7A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000028,ushun-sw-06,Gi1/0/3,us-huntsville
00:04:F2:2F:3A:BA,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000029,ushun-sw-06,Gi1/0/4,us-huntsville
10:E7:C6:D6:B8:23,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000029,ushun-sw-06,Gi1/0/4,us-huntsville
00:04:F2:EE:B6:FC,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000030,ushun-sw-06,Gi1/0/5,us-huntsville
10:E7:C6:F3:35:6C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000030,ushun-sw-06,Gi1/0/5,us-huntsville
00:04:F2:DC:45:54,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000031,ushun-sw-07,Gi1/0/1,us-huntsville
10:E7:C6:48:CC:A6,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000031,ushun-sw-07,Gi1/0/1,us-huntsville
00:04:F2:8B:DC:EA,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000032,ushun-sw-07,Gi1/0/2,us-huntsville
10:E7:C6:5E:39:DC,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000032,ushun-sw-07,Gi1/0/2,us-huntsville
00:04:F2:70:B9:E2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000033,ushun-sw-07,Gi1/0/3,us-huntsville
10:E7:C6:08:41:82,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000033,ushun-sw-07,Gi1/0/3,us-huntsville
00:04:F2:54:B4:B9,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000034,ushun-sw-07,Gi1/0/4,us-huntsville
10:E7:C6:0B:57:E3,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000034,ushun-sw-07,Gi1/0/4,us-huntsville
00:04:F2:9D:00:D5,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000035,ushun-sw-07,Gi1/0/5,us-huntsville
10:E7:C6:87:4F:8E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000035,ushun-sw-07,Gi1/0/5,us-huntsville
00:04:F2:4F:70:1E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000036,ushun-sw-08,Gi1/0/1,us-huntsville
10:E7:C6:E3:22:3C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000036,ushun-sw-08,Gi1/0/1,us-huntsville
00:04:F2:57:EB:9A,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000037,ushun-sw-08,Gi1/0/2,us-huntsville
10:E7:C6:53:A5:00,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000037,ushun-sw-08,Gi1/0/2,us-huntsville
00:04:F2:75:10:7C,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000038,ushun-sw-08,Gi1/0/3,us-huntsville
10:E7:C6:23:B5:CE,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000038,ushun-sw-08,Gi1/0/3,us-huntsville
00:04:F2:B1:3B:94,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000039,ushun-sw-08,Gi1/0/4,us-huntsville
10:E7:C6:7D:4E:6E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000039,ushun-sw-08,Gi1/0/4,us-huntsville
00:04:F2:DE:69:0E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000040,ushun-sw-08,Gi1/0/5,us-huntsville
10:E7:C6:99:6E:E7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000040,ushun-sw-08,Gi1/0/5,us-huntsville
00:04:F2:D1:E7:EF,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000041,ushun-sw-09,Gi1/0/1,us-huntsville
10:E7:C6:F3:52:A5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000041,ushun-sw-09,Gi1/0/1,us-huntsville
00:04:F2:9A:C2:67,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000042,ushun-sw-09,Gi1/0/2,us-huntsville
10:E7:C6:6C:1B:40,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000042,ushun-sw-09,Gi1/0/2,us-huntsville
00:04:F2:F9:DB:8A,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000043,ushun-sw-09,Gi1/0/3,us-huntsville
10:E7:C6:E9:F0:EF,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000043,ushun-sw-09,Gi1/0/3,us-huntsville
00:04:F2:4E:3F:09,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000044,ushun-sw-09,Gi1/0/4,us-huntsville
10:E7:C6:70:D1:2C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000044,ushun-sw-09,Gi1/0/4,us-huntsville
00:04:F2:4A:E5:D2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000045,ushun-sw-09,Gi1/0/5,us-huntsville
10:E7:C6:21:1F:73,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000045,ushun-sw-09,Gi1/0/5,us-huntsville
00:04:F2:36:B7:8E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000046,ushun-sw-10,Gi1/0/1,us-huntsville
10:E7:C6:BB:5F:FA,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000046,ushun-sw-10,Gi1/0/1,us-huntsville
00:04:F2:3A:4E:59,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000047,ushun-sw-10,Gi1/0/2,us-huntsville
10:E7:C6:31:11:A7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000047,ushun-sw-10,Gi1/0/2,us-huntsville
00:04:F2:0D:DD:AD,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000048,ushun-sw-10,Gi1/0/3,us-huntsville
10:E7:C6:7A:2C:B2,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000048,ushun-sw-10,Gi1/0/3,us-huntsville
00:04:F2:71:BD:7E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000049,ushun-sw-10,Gi1/0/4,us-huntsville
10:E7:C6:DF:C4:4B,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000049,ushun-sw-10,Gi1/0/4,us-huntsville
00:04:F2:36:D9:36,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000050,ushun-sw-10,Gi1/0/5,us-huntsville
10:E7:C6:52:6B:A8,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000050,ushun-sw-10,Gi1/0/5,us-huntsville
00:04:F2:BB:73:83,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000051,ushun-sw-11,Gi1/0/1,us-huntsville
10:E7:C6:FD:CC:A4,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000051,ushun-sw-11,Gi1/0/1,us-huntsville
00:04:F2:2A:12:BC,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000052,ushun-sw-11,Gi1/0/2,us-huntsville
10:E7:C6:26:E4:58,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000052,ushun-sw-11,Gi1/0/2,us-huntsville
00:04:F2:31:16:7E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000053,ushun-sw-11,Gi1/0/3,us-huntsville
10:E7:C6:7D:2A:B1,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000053,ushun-sw-11,Gi1/0/3,us-huntsville
00:04:F2:04:34:32,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000054,ushun-sw-11,Gi1/0/4,us-huntsville
10:E7:C6:5E:88:7E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000054,ushun-sw-11,Gi1/0/4,us-huntsville
00:04:F2:FA:81:55,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000055,ushun-sw-11,Gi1/0/5,us-huntsville
10:E7:C6:A5:34:47,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000055,ushun-sw-11,Gi1/0/5,us-huntsville
00:04:F2:DD:E5:77,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000056,ushun-sw-12,Gi1/0/1,us-huntsville
10:E7:C6:A3:27:41,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000056,ushun-sw-12,Gi1/0/1,us-huntsville
00:04:F2:B0:06:38,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000057,ushun-sw-12,Gi1/0/2,us-huntsville
10:E7:C6:3C:05:C4,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000057,ushun-sw-12,Gi1/0/2,us-huntsville
00:04:F2:13:BE:35,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000058,ushun-sw-12,Gi1/0/3,us-huntsville
10:E7:C6:A6:A0:83,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000058,ushun-sw-12,Gi1/0/3,us-huntsville
00:04:F2:ED:F0:DB,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000059,ushun-sw-12,Gi1/0/4,us-huntsville
10:E7:C6:7D:48:C9,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000059,ushun-sw-12,Gi1/0/4,us-huntsville
00:04:F2:9A:F8:D8,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000060,ushun-sw-12,Gi1/0/5,us-huntsville
10:E7:C6:7D:E8:CE,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000060,ushun-sw-12,Gi1/0/5,us-huntsville
00:04:F2:46:53:BC,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000061,ushun-sw-13,Gi1/0/1,us-huntsville
10:E7:C6:5F:61:FF,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000061,ushun-sw-13,Gi1/0/1,us-huntsville
00:04:F2:61:56:CF,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000062,ushun-sw-13,Gi1/0/2,us-huntsville
10:E7:C6:48:74:0E,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000062,ushun-sw-13,Gi1/0/2,us-huntsville
00:04:F2:2A:B4:AE,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000063,ushun-sw-13,Gi1/0/3,us-huntsville
10:E7:C6:84:00:A8,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000063,ushun-sw-13,Gi1/0/3,us-huntsville
00:04:F2:14:CA:79,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000064,ushun-sw-13,Gi1/0/4,us-huntsville
10:E7:C6:61:84:A9,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000064,ushun-sw-13,Gi1/0/4,us-huntsville
00:04:F2:05:12:F3,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000065,ushun-sw-13,Gi1/0/5,us-huntsville
10:E7:C6:99:81:FE,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000065,ushun-sw-13,Gi1/0/5,us-huntsville
00:04:F2:C7:66:C7,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000066,ushun-sw-14,Gi1/0/1,us-huntsville
10:E7:C6:27:BD:7A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000066,ushun-sw-14,Gi1/0/1,us-huntsville
00:04:F2:FB:D6:15,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000067,ushun-sw-14,Gi1/0/2,us-huntsville
10:E7:C6:FF:D2:E8,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000067,ushun-sw-14,Gi1/0/2,us-huntsville
00:04:F2:FD:9E:D2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000068,ushun-sw-14,Gi1/0/3,us-huntsville
10:E7:C6:38:73:FA,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000068,ushun-sw-14,Gi1/0/3,us-huntsville
00:04:F2:21:18:9E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000069,ushun-sw-14,Gi1/0/4,us-huntsville
10:E7:C6:E6:3E:D5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000069,ushun-sw-14,Gi1/0/4,us-huntsville
00:04:F2:07:A5:47,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000070,ushun-sw-14,Gi1/0/5,us-huntsville
10:E7:C6:E1:5C:A3,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000070,ushun-sw-14,Gi1/0/5,us-huntsville
00:04:F2:3F:EC:EF,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000071,ushun-sw-15,Gi1/0/1,us-huntsville
10:E7:C6:73:AE:F5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000071,ushun-sw-15,Gi1/0/1,us-huntsville
00:04:F2:23:94:FA,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000072,ushun-sw-15,Gi1/0/2,us-huntsville
10:E7:C6:7B:1D:FC,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000072,ushun-sw-15,Gi1/0/2,us-huntsville
00:04:F2:2E:41:5F,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000073,ushun-sw-15,Gi1/0/3,us-huntsville
10:E7:C6:E3:AB:C5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000073,ushun-sw-15,Gi1/0/3,us-huntsville
00:04:F2:9A:2D:40,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000074,ushun-sw-15,Gi1/0/4,us-huntsville
10:E7:C6:FF:35:65,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000074,ushun-sw-15,Gi1/0/4,us-huntsville
00:04:F2:5C:8D:B5,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000075,ushun-sw-15,Gi1/0/5,us-huntsville
10:E7:C6:09:6D:60,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000075,ushun-sw-15,Gi1/0/5,us-huntsville
00:04:F2:D1:0B:AF,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000076,ushun-sw-16,Gi1/0/1,us-huntsville
10:E7:C6:0F:30:1B,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000076,ushun-sw-16,Gi1/0/1,us-huntsville
00:04:F2:46:88:4A,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000077,ushun-sw-16,Gi1/0/2,us-huntsville
10:E7:C6:FD:34:DE,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000077,ushun-sw-16,Gi1/0/2,us-huntsville
00:04:F2:8E:08:E6,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000078,ushun-sw-16,Gi1/0/3,us-huntsville
10:E7:C6:FA:CA:CB,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000078,ushun-sw-16,Gi1/0/3,us-huntsville
00:04:F2:25:30:B4,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000079,ushun-sw-16,Gi1/0/4,us-huntsville
10:E7:C6:AF:79:19,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000079,ushun-sw-16,Gi1/0/4,us-huntsville
00:04:F2:8F:96:11,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000080,ushun-sw-16,Gi1/0/5,us-huntsville
10:E7:C6:5C:79:2D,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000080,ushun-sw-16,Gi1/0/5,us-huntsville
00:04:F2:03:6B:35,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000081,ushun-sw-17,Gi1/0/1,us-huntsville
10:E7:C6:3D:8E:0C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000081,ushun-sw-17,Gi1/0/1,us-huntsville
00:04:F2:F4:40:A4,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000082,ushun-sw-17,Gi1/0/2,us-huntsville
