mac,endpoint_identity_group,description
02:00:05:00:00:07,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:08,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:09,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:0a,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:01,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:02,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:03,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:04,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:05,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:06,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:07,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:08,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:09,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:06:00:00:0a,Cameras,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:01,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:02,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:03,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:04,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:05,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:06,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:07,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:08,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:09,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:07:00:00:0a,UPS,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:01,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:02,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:03,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:04,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:05,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:06,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:07,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:08,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:09,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:08:00:00:0a,Powerstrips,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:01,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:02,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:03,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:04,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:05,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:06,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:07,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:08,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:09,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:09:00:00:0a,Linux,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:01,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:02,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:03,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:04,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:05,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:06,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:07,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:08,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:09,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0a:00:00:0a,Windows,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:01,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:02,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:03,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:04,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:05,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:06,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:07,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:08,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:09,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:0b:00:00:0a,RFID_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
