hostname,mgmt_ip,site_code,site_name,country_code,country_id,site_id,role,os,port_count,users_served
ushun-sw-47,10.1.1.47/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-48,10.1.1.48/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
usanc-sw-01,10.1.2.1/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-02,10.1.2.2/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-03,10.1.2.3/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-04,10.1.2.4/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-05,10.1.2.5/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-06,10.1.2.6/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-07,10.1.2.7/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-08,10.1.2.8/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-09,10.1.2.9/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-10,10.1.2.10/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-11,10.1.2.11/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-12,10.1.2.12/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-13,10.1.2.13/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-14,10.1.2.14/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-15,10.1.2.15/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-16,10.1.2.16/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-17,10.1.2.17/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-18,10.1.2.18/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-19,10.1.2.19/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-20,10.1.2.20/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-21,10.1.2.21/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-22,10.1.2.22/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-23,10.1.2.23/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-24,10.1.2.24/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-25,10.1.2.25/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-26,10.1.2.26/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-27,10.1.2.27/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-28,10.1.2.28/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-29,10.1.2.29/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-30,10.1.2.30/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-31,10.1.2.31/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-32,10.1.2.32/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-33,10.1.2.33/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-34,10.1.2.34/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-35,10.1.2.35/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-36,10.1.2.36/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-37,10.1.2.37/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-38,10.1.2.38/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-39,10.1.2.39/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-40,10.1.2.40/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-41,10.1.2.41/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-42,10.1.2.42/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-43,10.1.2.43/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-44,10.1.2.44/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-45,10.1.2.45/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-46,10.1.2.46/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-47,10.1.2.47/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
usanc-sw-48,10.1.2.48/32,us-anchorage,"Anchorage, Alaska",us,1,2,sw,IOS-XE,48,24
uspho-sw-01,10.1.3.1/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-02,10.1.3.2/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-03,10.1.3.3/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-04,10.1.3.4/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-05,10.1.3.5/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-06,10.1.3.6/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-07,10.1.3.7/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-08,10.1.3.8/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-09,10.1.3.9/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-10,10.1.3.10/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-11,10.1.3.11/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-12,10.1.3.12/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-13,10.1.3.13/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-14,10.1.3.14/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-15,10.1.3.15/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-16,10.1.3.16/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-17,10.1.3.17/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-18,10.1.3.18/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-19,10.1.3.19/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-20,10.1.3.20/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-21,10.1.3.21/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-22,10.1.3.22/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-23,10.1.3.23/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-24,10.1.3.24/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-25,10.1.3.25/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-26,10.1.3.26/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-27,10.1.3.27/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-28,10.1.3.28/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-29,10.1.3.29/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-30,10.1.3.30/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-31,10.1.3.31/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-32,10.1.3.32/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-33,10.1.3.33/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-34,10.1.3.34/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-35,10.1.3.35/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-36,10.1.3.36/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-37,10.1.3.37/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-38,10.1.3.38/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-39,10.1.3.39/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-40,10.1.3.40/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-41,10.1.3.41/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-42,10.1.3.42/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-43,10.1.3.43/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-44,10.1.3.44/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-45,10.1.3.45/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-46,10.1.3.46/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-47,10.1.3.47/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uspho-sw-48,10.1.3.48/32,us-phoenix,"Phoenix, Arizona",us,1,3,sw,IOS-XE,48,24
uslit-sw-01,10.1.4.1/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-02,10.1.4.2/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-03,10.1.4.3/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-04,10.1.4.4/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-05,10.1.4.5/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-06,10.1.4.6/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-07,10.1.4.7/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-08,10.1.4.8/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-09,10.1.4.9/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-10,10.1.4.10/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-11,10.1.4.11/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-12,10.1.4.12/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-13,10.1.4.13/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-14,10.1.4.14/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-15,10.1.4.15/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-16,10.1.4.16/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-17,10.1.4.17/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-18,10.1.4.18/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-19,10.1.4.19/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-20,10.1.4.20/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-21,10.1.4.21/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-22,10.1.4.22/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-23,10.1.4.23/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-24,10.1.4.24/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-25,10.1.4.25/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-26,10.1.4.26/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-27,10.1.4.27/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-28,10.1.4.28/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-29,10.1.4.29/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-30,10.1.4.30/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-31,10.1.4.31/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-32,10.1.4.32/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-33,10.1.4.33/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-34,10.1.4.34/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-35,10.1.4.35/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-36,10.1.4.36/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-37,10.1.4.37/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-38,10.1.4.38/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-39,10.1.4.39/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-40,10.1.4.40/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-41,10.1.4.41/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-42,10.1.4.42/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-43,10.1.4.43/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-44,10.1.4.44/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-45,10.1.4.45/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-46,10.1.4.46/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-47,10.1.4.47/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslit-sw-48,10.1.4.48/32,us-little-rock,"Little Rock, Arkansas",us,1,4,sw,IOS-XE,48,24
uslos-sw-01,10.1.5.1/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-02,10.1.5.2/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-03,10.1.5.3/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-04,10.1.5.4/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-05,10.1.5.5/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-06,10.1.5.6/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-07,10.1.5.7/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-08,10.1.5.8/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-09,10.1.5.9/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-10,10.1.5.10/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-11,10.1.5.11/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-12,10.1.5.12/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-13,10.1.5.13/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-14,10.1.5.14/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-15,10.1.5.15/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-16,10.1.5.16/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-17,10.1.5.17/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-18,10.1.5.18/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-19,10.1.5.19/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-20,10.1.5.20/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-21,10.1.5.21/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-22,10.1.5.22/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-23,10.1.5.23/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-24,10.1.5.24/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-25,10.1.5.25/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-26,10.1.5.26/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-27,10.1.5.27/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-28,10.1.5.28/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-29,10.1.5.29/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-30,10.1.5.30/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-31,10.1.5.31/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-32,10.1.5.32/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-33,10.1.5.33/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-34,10.1.5.34/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-35,10.1.5.35/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-36,10.1.5.36/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-37,10.1.5.37/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-38,10.1.5.38/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-39,10.1.5.39/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-40,10.1.5.40/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-41,10.1.5.41/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-42,10.1.5.42/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-43,10.1.5.43/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-44,10.1.5.44/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-45,10.1.5.45/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-46,10.1.5.46/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
uslos-sw-47,10.1.5.47/32,us-los-angeles,"Los Angeles, California",us,1,5,sw,IOS-XE,48,24
