MACAddress,EndPointPolicy,IdentityGroup,Description,DeviceRegistrationStatus,BYODRegistration,Device Type,EmailAddress,ip,FirstName,host-name,LastName,MDMServerID,MDMServerName,MDMEnrolled,Location,PortalUser,User-Name,StaticAssignment,StaticGroupAssignment,MDMOSVersion,PortalUser.FirstName,PortalUser.LastName,PortalUser.EmailAddress,PortalUser.PhoneNumber,PortalUser.GuestType,PortalUser.GuestStatus,PortalUser.Location,PortalUser.GuestSponsor,PortalUser.CreationType,AUPAccepted
00:04:F2:8D:B0:AB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A0:A6:25,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:0E:C2:9E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:5A:BE:86,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:23:CC:47,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:DD:A1:5F,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DC:0D:23,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:48:8F:88,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:7A:A2:23,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:92:93:F9,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:B4:AB:46,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:9F:DD:42,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:D0:E4:9E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:4F:3B:B1,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:32:85:AC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:B6:7C:8B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:50:F5:A3,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:B2:F6:B5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:7E:73:6E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:63:6B:B4,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:72:62:16,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E8:18:F3,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:A9:FA:26,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C5:8B:A9,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:C1:CD:2E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E6:55:DA,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:EF:38:BF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:C1:2B:EB,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:28:44:B2,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A5:42:B7,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4D:D9:12,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:3B:89:AF,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:F3:E9:CA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:10:82:AB,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:FB:76:BB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D3:94:BB,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:E8:7E:4D,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:95:00:4F,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:1A:4A:9B,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:B8:1A:01,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:5B:3B:4C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FA:8F:7A,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:2F:3A:BA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:D6:B8:23,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:EE:B6:FC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:F3:35:6C,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DC:45:54,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:48:CC:A6,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:8B:DC:EA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:5E:39:DC,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:70:B9:E2,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:08:41:82,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:54:B4:B9,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:0B:57:E3,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:9D:00:D5,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:87:4F:8E,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4F:70:1E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E3:22:3C,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:57:EB:9A,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:53:A5:00,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:75:10:7C,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:23:B5:CE,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:B1:3B:94,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7D:4E:6E,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DE:69:0E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:99:6E:E7,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:D1:E7:EF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:F3:52:A5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:9A:C2:67,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:6C:1B:40,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:F9:DB:8A,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E9:F0:EF,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4E:3F:09,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:70:D1:2C,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:4A:E5:D2,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:21:1F:73,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:36:B7:8E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:BB:5F:FA,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:3A:4E:59,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:31:11:A7,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:0D:DD:AD,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7A:2C:B2,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:71:BD:7E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:DF:C4:4B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:36:D9:36,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:52:6B:A8,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:BB:73:83,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FD:CC:A4,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:2A:12:BC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:26:E4:58,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:31:16:7E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7D:2A:B1,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:04:34:32,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:5E:88:7E,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:FA:81:55,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A5:34:47,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:DD:E5:77,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A3:27:41,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:B0:06:38,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:3C:05:C4,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:13:BE:35,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:A6:A0:83,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:ED:F0:DB,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7D:48:C9,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:9A:F8:D8,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7D:E8:CE,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:46:53:BC,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:5F:61:FF,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:61:56:CF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:48:74:0E,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:2A:B4:AE,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:84:00:A8,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:14:CA:79,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:61:84:A9,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:05:12:F3,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:99:81:FE,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:C7:66:C7,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:27:BD:7A,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:FB:D6:15,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FF:D2:E8,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:FD:9E:D2,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:38:73:FA,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:21:18:9E,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E6:3E:D5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:07:A5:47,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E1:5C:A3,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:3F:EC:EF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:73:AE:F5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:23:94:FA,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:7B:1D:FC,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:2E:41:5F,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:E3:AB:C5,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:9A:2D:40,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FF:35:65,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:5C:8D:B5,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:09:6D:60,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:D1:0B:AF,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:0F:30:1B,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:46:88:4A,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
10:E7:C6:FD:34:DE,HP-Device,Windows,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
00:04:F2:8E:08:E6,Polycom-Device,Phones,'Generated. Not hardware. IEEE MA-L.',NotRegistered,Unknown,,,,,,,,,,,,,false,true,,,,,,,,,,,
